"","x","y","xm","ym"
"1",33.0576737288136,0.828484848484848,12.4064523889373,0.310928043878788
"2",17.4829194915254,0.310681818181818,6.56129073299491,0.116598016454545
"3",7.83894915254237,1.03560606060606,2.94193566789153,0.388660054848485
"4",3.76475847457627,1.19094696969697,1.41290331418475,0.446959063075758
"5",1.16037076271186,3.33982954545455,0.435483898207627,1.25342867688636
"6",0.825152542372881,7.01623106060606,0.309677438725424,2.63317187159848
"7",4.69305508474576,5.85117424242424,1.76129043275085,2.19592930989394
"8",6.49807627118644,3.57284090909091,2.43870982996271,1.34087718922727
"9",10.9332711864407,2.87380681818182,4.10322606311186,1.07853165220455
"10",8.53517161016949,7.06801136363636,3.2032260068161,2.65260487434091
"11",8.19995338983051,10.4337310606061,3.0774195473339,3.91575005259848
"12",3.63582838983051,9.50168560606061,1.3645162143839,3.56595600323485
"13",2.0113093220339,12.2719318181818,0.75483875689322,4.60562164995455
"14",5.18298940677966,12.2719318181818,1.94516141199407,4.60562164995455
"15",3.66161440677966,14.6797159090909,1.37419363434407,5.50925627747727
"16",2.24338347457627,14.9903977272727,0.841935536534746,5.62585429393182
"17",4.09997669491525,16.6473674242424,1.53870977366695,6.24771038168939
"18",7.40058686440678,14.7573863636364,2.77741952856864,5.53840578159091
"19",9.6697563559322,12.8674053030303,3.62903248506356,4.82910118149242
"20",7.03958262711864,18.3820075757576,2.64193564912627,6.89871597356061
"21",3.94526059322034,19.132821969697,1.48064525390593,7.18049451332576
"22",1.54716101694915,19.4435037878788,0.580645197610169,7.2970925297803
"23",10.1596906779661,14.4984848484848,3.81290346430678,5.44124076787879
"24",11.500563559322,13.8512310606061,4.31612930223559,5.19832823359848
"25",10.3401927966102,16.8027083333333,3.88064540402797,6.30600938991667
"26",10.7527690677966,19.9095265151515,4.03548412339068,7.47198955446212
"27",13.5892309322034,18.6409090909091,5.10000031900932,6.99588098727273
"28",13.7697330508475,15.1716287878788,5.16774225873051,5.6938698035303
"29",13.9760211864407,8.54375,5.24516161841186,3.2064454525
"30",11.3974194915254,8.4919696969697,4.27741962239491,3.18701244975758
"31",12.4288601694915,6.52431818181818,4.66451642080169,2.44855834554545
"32",13.3055847457627,4.45310606060606,4.99354869944746,1.67123823584848
"33",15.2911080508475,6.29130681818182,5.73871003638051,2.36110983320455
"34",17.1734872881356,8.98388257575758,6.44516169347288,3.37162597581061
"35",18.1017838983051,11.106875,6.79354881203898,4.16837908825
"36",15.4716101694915,11.6764583333333,5.80645197610169,4.38214211841667
"37",17.0187711864407,13.1263068181818,6.38709717371186,4.92626619520455
"38",18.2565,14.4208143939394,6.8516133318,5.41209126376515
"39",19.9841631355932,12.7897348484848,7.50000046913136,4.79995167737879
"40",20.293595338983,11.1327651515152,7.61612950865339,4.17809558962121
"41",20.3193813559322,14.4467045454545,7.62580692861356,5.42180776513636
"42",19.442656779661,16.2590151515152,7.2967746499678,6.10196286112121
"43",18.7980063559322,18.4855681818182,7.05483915096356,6.93758197904545
"44",16.3225487288136,17.9677651515152,6.12580683478729,6.74325195162121
"45",20.2420233050847,20.0389772727273,7.59677466873305,7.52057206131818
"46",21.0413898305085,18.1231060606061,7.8967746874983,6.80155095984849
"47",21.6086822033898,16.0001136363636,8.10967792662203,6.00479784740909
"48",23.336345338983,17.2169507575758,8.75806506395339,6.46147341185606
"49",22.5885508474576,12.479053030303,8.47741988510847,4.68335366092424
"50",19.442656779661,8.46607954545455,7.2967746499678,3.17729594838636
"51",19.2105826271186,6.49842803030303,7.20967787032627,2.43884184417424
"52",20.6545995762712,4.66022727272727,7.75161338809576,1.74897024681818
"53",19.7520889830508,2.27833333333333,7.41290368948983,0.855052120666667
"54",22.150188559322,2.69257575757576,8.31290374578559,1.01051614260606
"55",24.6514322033898,2.5113446969697,9.25161348192203,0.942500633007576
"56",24.2388559322034,4.99679924242424,9.09677476255932,1.87528476464394
"57",21.2218919491525,7.06801136363636,7.96451662721949,2.65260487434091
"58",23.4394894067797,7.53403409090909,8.79677474379407,2.82750189902273
"59",25.012436440678,10.2525,9.38709736136441,3.847734543
"60",24.9350783898305,13.1780871212121,9.3580651014839,4.94569919794697
"61",26.198593220339,15.3269696969697,9.8322586795322,5.75216881175758
"62",28.0294004237288,12.6085037878788,10.5193554967042,4.7319361677803
"63",26.7916716101695,7.40458333333333,10.0548393386161,2.77891939216667
"64",29.1124131355932,8.41429924242424,10.9258071350314,3.15786294564394
"65",30.1438538135593,10.6149621212121,11.3129039334381,3.98376556219697
"66",31.0205783898305,12.6085037878788,11.6419362120839,4.7319361677803
"67",29.9117796610169,14.7573863636364,11.2258071537966,5.53840578159091
"68",34.2696165254237,10.6926325757576,12.8612911270653,4.01291506631061
"69",33.6249661016949,6.39486742424242,12.619355628061,2.39997583868939
"70",30.4532860169491,6.26541666666667,11.4290329729602,2.35139333183333
"71",30.092281779661,2.79613636363636,11.2935490935178,1.04938214809091
"72",35.4299872881356,1.42395833333333,13.2967750252729,0.534407575416667
"73",35.7909915254237,3.83174242424242,13.4322589047153,1.43804220293939
"74",36.1004237288136,7.37869318181818,13.5483879442373,2.76920289079545
"75",35.7394194915254,13.9030113636364,13.4129040647949,5.21776123634091
"76",33.3413199152542,14.2395833333333,12.5129040084992,5.34407575416667
"77",35.0431970338983,16.7250378787879,13.1516137258703,6.27685988580303
"78",32.7482415254237,17.3464015151515,12.2903233494153,6.51005591871212
"79",34.5790487288136,18.6150189393939,12.9774201665873,6.98616448590151
"80",32.8513855932203,19.8059659090909,12.3290330292559,7.43312354897727
